Borough,condition,estrato,property_type,neighborhood,Area,bedrooms,bathrooms,garages,Price
Soledad,Usado,2,Apartamento,El Manantial,51,3,2,1,109000000
Riomar,Usado,2,Casa,Urbanización Eduardo santos la playa,84,3,2,0,180000000
Sur Occidente,Usado,2,Apartamento,San Felipe,35,1,1,0,75000000
Soledad,Usado,2,Apartamento,Ciudadela Metropolitan,72,3,1,1,90000000
Sur Occidente,Usado,2,Casa,Olaya,76,3,2,0,180000000
Soledad,Usado,2,Casa,Las Trinitarias,153,4,2,0,235000000
Sur Oriente,Usado,2,Casa,Los Trupillos,98,3,1,0,350000000
Riomar,Usado,2,Casa,Adela de Char Etp. 1,70,3,2,0,128000000
Sur Occidente,Usado,2,Apartamento,Caribe Verde,46,3,1,1,160000000
Soledad,Usado,2,Casa,Costa Hermosa,90,3,2,1,180000000
Soledad,Usado,2,Apartamento,Costa Hermosa,50,2,1,0,82000000
Soledad,Usado,2,Casa,Costa Hermosa,115,3,1,0,135000000
Sur Occidente,Usado,2,Casa,Caribe Verde,67,3,3,1,148000000
Riomar,Usado,2,Casa,Adela de Char Etp. 1,57,3,2,0,150000000
Riomar,Usado,2,Casa,Adela de Char Etp. 1,55,3,4,0,165000000
Riomar,Usado,2,Casa,Adela de Char Etp. 1,105,3,2,0,170000000
Sur Occidente,Usado,2,Apartamento,Caribe Verde,61,3,2,1,155000000
Soledad,Usado,2,Casa,Los Almendros,72,3,2,0,120000000
Soledad,Usado,2,Casa,Ciudadela Metropolitana,347,13,5,0,700000000
Soledad,Usado,2,Casa,Ciudadela Metropolitana,68,3,2,1,180000000
Sur Occidente,Usado,2,Casa,Carlos Meisel,200,3,3,0,270000000
Riomar,Usado,2,Casa,Adelita de Char Etp. 3,52,2,2,0,130000000
Sur Occidente,Usado,2,Casa,Villas San Pablo,70,2,1,0,90000000
Soledad,Usado,2,Casa,Los Robles,156,3,2,1,155000000
Riomar,Usado,2,Casa,Adela de Char Etp. 1,94,3,1,1,160000000
Riomar,Usado,2,Casa,Riomar,550,5,5,2,1600000000
Riomar,Usado,2,Casa,Urbanización Eduardo santos la playa,25,4,2,0,190000000
